constructorStandingsId,raceId,constructorId,points,position,positionText,wins
8494,319,1,132,1,1,7
8702,11,23,126,1,1,7
8712,12,23,128,1,1,7
8933,364,1,89,1,1,7
8953,365,1,98,1,1,7
9260,378,1,93,1,1,7
9589,398,3,106,1,1,7
9605,399,3,110,1,1,7
9827,414,3,102,1,1,7
9840,415,3,102,1,1,7
10377,446,1,83.5,1,1,7
23646,538,32,76,1,1,7
22207,619,32,92,1,1,7
21786,642,25,73,1,1,7
19924,728,172,54,1,1,7
24450,352,9,426,1,1,7
24474,353,9,426,1,1,7
24670,852,9,426,1,1,7
25088,876,9,407,1,1,7
25100,877,9,422,1,1,7
25112,878,9,440,1,1,7
25123,879,1,378,3,3,7
